Comment Text,Manual label
Đoán coi chủ đề gì z nek Phương Dung Phan Nguyễn Phương UyênThiên Bảo Huỳnh Trúc Phương Mai Phương Lê Bảo Toàn Phuong Thao,1
Sự kiện dui dịiii,1
Lẹt go,1
Hóng quá i thui,1
Đỉnh dữ z chòi,1
Nguyễn Tuấn Khải hóng chung coai,1
Huy Vũ NguyễnHuỳnh Trung ThànhNguyễn Khánh HươngNguyen Phuc Anh KhoiPhương DungLê Thảo Nguyên gô,1
"CHỈ CÒN 12 SLOT CUỐI TRẢI NGHIỆM 48H MỌI NGƯỜI NHANH TAY ĐIỀN FORM ĐĂNG KÍ TRẢI NGHIỆM VỚI CHỦ ĐỀ ""HỒN THIÊN ÂU LẠC"" NHÉ",1
dk tham gia thôi m.n ơi chỉ với 150k các bạn sẽ được trải nghiệm với đầy đủ tiện nghi,1
đăng kí tham gia thoai mọi người ơi các bạn được đăng kí nguyện vọng đi theo nhóm nhé với vé 150k/ người ( không chi phí phát sinh),1
tự nhiên khi không comeback làm tui nhớ lại hồi đó quá nè Mẫn Gia Dương Võ Xuân Đạt Minh Hưng Trungg Kiênn Gia Huy Nguyễn Vũ Nguyễn Phog Anh Thư Đặng Chí Thanh Khoa Võ Phạm Ngọc Minh Hiếu Nguyễn Ngọc Quốc Khánh Vương Huỳnh kkk,1
là vào trong này có được múa lửa dẫy đầm gì không BTC oiiii,1
Ai đi khum 🤭,1
Chỉ với 150k các bạn sẽ được trải nghiệm 2 ngày 1 đêm bao ăn uống chỗ ngủ địa điểm chơi dk m.n ơi,1
"Thiên Trang aaaa bảo lộc kìa, thích quá i",1
Quá là hot roàiiii,1
:)) cay thế,1
Thùyy Trang á à😌,1
Thảo Thu đki đi du lịch cái đi về quê :))),1
Nguyễn Tài Khánh Duy nghĩ sao về chuyến đi Lâm Đồng=))),1
Hào Phan anh có đi nữa hông =))),1
Lương Phạm Việt Anh có đi hokk,1
Trần Ngọc Quỳnh Nhi đi cải tạo thôi kk,1
Lê Hữu Thắng lẹ lẹ đi eim 🤡,1
Hồng Phúc Phạm Bảo Nghi về quê bé chơi,1
Nam Khánh đi ko nè,1
Minh Nhựt Trung Hiếu đi thôi,1
Thái Thị Thanh Thư ik ik kìa,1
Quỳnh Hương Thuý Ngân đi nè,1
Đỉnh quóooo,1
Thùy Dung,1
Chánh Nguyễn đi thoi,1
"CHỈ CÒN 12 SLOT CUỐI TRẢI NGHIỆM 48H MỌI NGƯỜI NHANH TAY ĐIỀN FORM ĐĂNG KÍ TRẢI NGHIỆM VỚI CHỦ ĐỀ ""HỒN THIÊN ÂU LẠC"" NHÉ",1
đăng kí tham gia thoai mọi người ơi các bạn được đăng kí nguyện vọng đi theo nhóm nhé với vé 150k/ người ( không chi phí phát sinh),1
Cho rủ bạn ở ngoài đi hong ạ,1
Bình gòi đi chơi hong :)),1
Duy Hưng nữa hongg bà 🤣,1
Nguyễn Trọng NhânHải DiệuPhương LinhĐoàn Dương Mỹ Hạnh các cậu ơi đi nào,1
Huỳnh Hân,1
Bích Phương mong 711 sẽ refill cơm nắm thật nhiều chứ con bạn em nó thiếu cơm nắm nhìn nó như mất hồn vậy ạ :(,1
Tưởng đến cả 711 cũng xa lánh trai F chứ,1
Tin chuẩn chưa anh,1
711 nay mặn chát thế ;)) Thy Nguyễn Moon Nguyen Nguyễn Kim Thoa Mai Thanh Thuỷ,1
Chi Hoàng chỉ là Fakenew,1
Bảo Duy Nguyễn Duy thi ra day la li do,1
Mai Trinh còn nhe,1
Nguyễn Đức Nhật Minh còn nguyên mà =)),1
Bao Tran,1
Là cuộc thi trong trường nhưng giải thưởng thật lớn,1
SV FPT sướng quá vậy !,1
Trên cả toẹt dời😊,1
Em cũng muốn làm sinh viên ngành du lịch FPT😀,1
Quá tuyệt vời!,1
Phạm Hoài Khang đk thi chưa z 🌚,1
Huỳnh Tài Sang biến ra phân thân giúp t đi thi đi 🥲🥲,1
"Trường sịn quá z, cuộc thi cũng k kém",1
Hoàng Minh nhớ đăng kí thi nha ông,1
Long Huynh Hoang  dậy đi thi,1
Wow,1
Minh Tấn tuỵt,1
🚗🚗🚗,1
Khánh Linh game on,1
Cuộc thi hấp dẫn quáaaaa 🎉🎉,1
tham gia để có thêm cơ hội trải nghiệm 💪🏻💪🏻,1
Nhanh tay đăng kí để trở thành Người bán hàng xuất sắc nhất thôi mọi người ơi 🔥🔥🔥,1
Nam Đình Phan còn chần chừ gì nữa mà hok tham gia ✨,1
Nghe giải thưởng thui là thấy mê rùi 😍. Tham gia liền thôi.,1
"ui cuộc thi quá đầu tư, giải thưởng cũng hấp zẫn ngại gì không đăng kí tham giaaa",1
Phương Linh thấy xịn thì lên tiếng cái đi 🫴,1
Đăng kí thi eyyyyy,1
có vẻ hấp dẫn,1
Cuộc thi đầu tư xịn quá. Còn chần chờ gì mà không tham gia nhỉ Bùi Tuyết Nhi,1
"Phải tham gia ngay thoai, hấp dẫn quá điiii",1
có vẻ cuốn và có vẻ sẽ được cộng nhìu điểm rèn luyện. Tham gia thui Đỗ Bích Phượng,1
Cho em đăng kí với ak,1
Đăng ký nhanh nhanh thui nàoooooo,1
Có pị đã quá hong ah,1
Trần Huế cậu dki chưa,1
Đi thi lấy 50 triệu nè 🆘🆘,1
Trân trọng cám ơn FPTU đã hỗ trợ truyền thông đến các bạn sinh viên. Cuộc thi là cơ hội trải nghiệm thực chiến cho Salesman và Doanh nhân tương lai. Tìm hiểu và đăng ký hãy truy cập Website: nguoibanhangxuatsac.com nhé,1
"rồi từ vinhome thì phải đi tuyến nào đây, phải lên trường rồi mới đi tiếp tuyến FPTU khu cnc -> nvhsv à ?",1
"Tuyệt vời quá ạ, yêu trường 😘",1
Nguyễn Thái Học ước nguyện r kìa : )))) ms ns lúc nãy : )))),1
Klq nma điểm đón ở đâu z ạ 👁️👄👁️,1
Cao Thị Phương Thủy ghét trường =- ghét/2 🥰,1
Thu Ngân quao,1
tự nhiên thấy cũng đc =)),1
TRƯỜNG GÀI RỒI VÔ ĐÂY TOÀN CHỖ GIẢI TRÍ THẾ LÀ KHÔNG HỌC ĐƯỢC MÀ KHÔNG HỌC ĐƯỢC THÌ RỚT MÔN MÀ RỚT MÔN THÌ NỘP TIỀN CHO TRƯỜNGGG :3,1
Linh Thuy Trịnh Gia Hân Nguyễn Duy Tùng bài học MKT kìa,1
Nguyễn Phúc chúc mừng bà hi,1
view đẹp :)) xách nhau lên chụp ảnh xong đi về,1
R có máy lạnh trong phòng học k mng =))),1
Tiệm net ở chỗ nào vậy ad,1
Tự dưng thấy cơ sở mới cũng đẹp,1
Độc lạ FPT,1
Độc lạ bình bông,1
bố cái trường toàn làm mấy cái trò xàm buòi,1
Phương Nam phòng riêng luôn mới ác 🤡😬,1
Thanh Tùng net bạn,1
Hồng Phúc Phạm Quyên Hoàng bữa nào qua chơi đi.,1
Tuấn Kiệt trả con ghệ nhí về khu cnc được k😩😩,1
Hideoegawa Akari ở đây có vẻ dui hơn nè :))),1
Nguyễn Phúc zui lên anh 🤣,1
Tiên Thuỷ Hoàng Bảo Ngọc thích ghê,1
ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện ổ điện,1
Huỳnh Nam =)))),1
Truc Sen,1
Anh Phan tự dưng thấy cơ sở mới củm đượt 🙂,1
Nguyễn Cao Phước San có chỗ combat rồi,1
A di đà phật 🫠,1
"Trời ơi tuyệt vời quá trời, chúng ta có thể cúp học ra net. Học xong đi xem film chơi bow, tối tối dạo chợ đêm rồi về, sướng như vua",1
Thịnh Văn sướng nhất em Thịnh,1
Tự nhiên cũng thấy đẹp,1
Ai cho đi ké từ vin slot 2 với 🥹,1
Thanh Tuấn lên học đc 30p cái dắt nhau đi xem phim 🔥,1
Hot dữ luôn nha🥰,1
Minh Cơ Trần Quyền Khang Bùi khi nào học hành mệt mỏi quá thì chúng ta có net và bowling :))),1
Ngô Tấn Thành học xong ra chơi bowling:)),1
Nguyễn Khánh Duy lỡ mà đi trễ vào net chơi,1
Đặng Hoàng Anh vầy là tui với cốt cúp học đi chơi net xong đá qua đi bowling rồi đi uống trà dâu đá qua rạp đi xem phim rồi đi ăn hủ tiếu bún riêu lẩu chay rồi về là đẹp nè,1
Tưởng tượng được gv cho break cái “ê bowling 2 ván vô học tiếp” Võ Thành Phát Trịnh Lê Hoàng Duy đạt lê Quang Hậu,1
Huỳnh Tài Sang bowling hoy,1
Công Đức sướng,1
Anh Trâm Đặng Trần đã quá nè new campus nhe =)))),1
Nguyễn Đinh Hoà Chontiwet Kuhakuu sáng Thủ Đức chiều Q11 nào các đồng chí,1
Khanh Huyen,1
"Bùi Trịnh Quỳnh Nhiên đi học đi, t với m đổi chỗ chơi net =))))))",1
Trương Hoàng Thọ học xong ra chơi bowling rùi đi coi phim :))),1
Có được đi tháng máy ko ạ. Leo tận lầu 6 mỗi ngày hơi khoaiii giữa trời 36 độ cê,1
Võ Xuân Đạt Khoa Dang Võ Khoa học là phụ nhỉ :))),1
Tường Vy vậy là bữa m thấy áo cam là ra đây chụp hình đó :))),1
Trần Ngọc Quỳnh Nhi xịn mà m,1
Nguyễn Ngọc Quốc Khánh cũng xịn lắm chứ đùa,1
Gia Bảo Bùi Ngọc Duyên :))) gòi gòi zô form rồi,1
Quyên Đỗ hmmmm wyt,1
Nguyễn Quang Vinh xem trước đi đỡ bỡ ngỡ,1
Thien Le cứu pék :)))),1
Nguyen Van Quang Phat,1
Nhìn sơ qua cái cấu trúc phòng thì đoán đến cái ổ điện cũng không có :),1
Trường đẹp quá. Nhìn là không muốn học rồi,1
Lan Vy,1
Huy Vo :)) dắt t đi,1
Hoàng Duy giống toà innovation ngày xưa quá 🙂,1
Nguyễn Đặng Mỹ Hạnh c-cũng zuôi,1
Lúc vào trường thì bảo là không cần phải chạy cơ sở gì đâu :)))),1
Độc lạ nhà dăn quá,1
Peter Trịnh,1
Phan Ý Nhi sắp qua gặp Xi nè :))),1
Kim Hoàng tự nhiên thấy cũng được :))),1
Cũm dc,1
"có 3 cái thang máy, cứ chiều chiều là đông :)))",1
"Trương Thuỷ tự nhin thấy có thang máy, rạp phim các thứ cũm……🥲",1
Phạm Nguyễn Quỳnh Hương bữa nào học xong ở lại coi phim luôn 😀,1
My Lee ê nhìn cx zui quá m chắc xin đổi ra đây học 🥰,1
Quỳnh Hương Hồng Trà có mấy kia cũng an ủi phần nào 🫠,1
Trần Tú phê,1
Lâm Hữu Thuần vô hóng nè :)),1
Trung Anh nhìn cx ổn phết :))),1
Dung Văn,1
Nguyễn Nhật Minh Lê Thanh Tiến chính thức rồi tụi m,1
Nam Vũ chúc a zui=)),1
Mạc Anh Hào,1
"""Hot"" thiệt =))))",1
trần nam,1
Nhân Ralph học xong xuống xem phim là vừa,1
Phan Đăng Khoa bên này m chưa cmt :)))),1
Khôi Nguyên Nguyễn Ni học đây tốn tiền vé xem phim quá,1
Công Trương:)),1
Minh Phạm vậy hóa ra ngày nào đi tập là mình cũng vào trg bạn rồi à,1
An Đặng Hoàng Nguyễn thích lắm cơ🤓,1
View đẹp có rạp chiếu phim thất tình ko cần khóc trong lớp hay nhà vs vì có nguyên rạp phim nếu cần thì có thể bao để tạo sự riêng tư. Có phòng gym với đầy đủ trang thiết bị tối tân phục vụ đầy đủ cho các gym thủ. Bên cạnh đó là các sự kiện đc tổ chức bên nhà văn hoá sinh viên như phim ảnh lễ hội văn hoá vân vân và mây mây có những live show ca nhạc phục vụ hàng tháng :))) Chúng ta có thể bù đắp các thiếu sót ở các cơ sở khác bằng cơ sở của người khác nhưng mình thuê :))) Làm gì có campus nào sướng như campus Xavalo . :v,1
Nguyễn Ngọc Đan ThanhMinh Đức mảnh đất này cuối cùng cũng có dấu chân 2 cậu,1
Thanh Ngân tui thấy cũm đc,1
"Đề nghị trường xây cái ktx kế nhà văn hóa, em iu trường mãi mãi, em nguyện dâng hiến tấm thân của thằng bạn TIẾN ĐẠT cho trường 🤭, hứa không chửi trường nữa",1
Mỹ Duyên Lê Khánh Hà học xong mình phải đi explore nvh campus hoyyy,1
Nguyễn Phương Hoàng Vô đây chắc rớt môn vì cúp học quá =))),1
Có chỗ hút thuốc lào là ok rồi nè 🥰 trường hỗ trợ thêm phí ném bowling mỗi lần tình cảm cho trường dâng trào nữa là trường 5 điểm lun 😝,1
Huỳnh Đoàn Hoàng Thiện Hằng Nguyễn Kim Hạ là đến trường gửi xe r bắt buýt đi học?,1
Duy Cường Tiếp Blue học đây thì cx đỡ tiền xăng vl ra,1
Nguyễn Thị Thu Hiền đừng có rủ đi coi phim nha bà,1
Lan Anh lẩu chay full kì:)),1
Nguyen Đinh Anh Thu thấy trường tui sao pà 🫶🏻 thường ngày đi sợ ma xĩu,1
có ổ điện hong ta,1
Phan Hồ Nhã Uyên Giải mã,1
"ai da quán nét kìa, javalorant liền",1
chê,1
z he,1
Đức Nguyên dhs cái tone như film ma :))),1
"Vẫn thu không thiếu học phí, lại vừa đẩy được 1 đám ra chỗ khác, vừa có thêm chỗ để nhét thêm sv mới
Hảo trường 👍",1
Nhà wc sạch ko ta🥹,1
Giả Thị Nhã Trân,1
Thôi có net thì cũng ok đi 🐸 tự nhiên muốn học nvh,1
Ho Dinh Binh Vy Nguyen đã nha mà hơi xa xíu thôi,1
Giống bệnh viện....,1
tuấn vũ Cái rạp phim gần vãi kẹc 😂,1
Vũ Nguyễn,1
Đặng Ngọc Minh Trí Nhật Linh Phạm :))),1
Độc lạ Ép Pa Tê,1
Hùng Hoàng tất cả chỉ là 1 trò lừa bịp,1
Hiệp Nguyễn có giỏi thì zô thách đấu nè 😏 chơi với tôm tép chúng tôi làm gì,1
"Trong form có mục giải đáp thắc mắc, bạn nào muốn giải đáp nhanh thì có thể inb trực tiếp mình hoặc là fanpage để được trả lời nha!",1
"Ngày 14 hết hạn rùi, nhanh lên nào cả nhà ui",1
"Ngày 14 là hết hạn ùi, nhanh nhanh nào",1
"An Thành thời tới kìa em, vào lần nữa chiến đấu",1
Vào FBA - FPTU HCM Badminton Club  ik nào mọi người ơi! Vui lắm lun á. Vào đánh cầu lông giỏi có khi có đc ny lun. Nhanh tay đăng ký nào,1
Dạ có clb bóng chuyền ko ạ!,1
Nhớ Like và theo dõi Fanpage  FBA - FPTU HCM Badminton Club  để nắm bắt thông tin kịp thời nhaaaaa,1
Nguyên Hồ cho a zô,1
đợi F# và FBK :3,1
Nguyên Hồ a nào hot hit quá x,1
Lê Ngọc Quỳnh hổng cho cựu hả chị ơi? 😭,1
Vào rồi em có được chơi vơi anh Kai Nguyễn hong :)))),1
Minh Giàu mời em,1
Hải Quốc Đặng Hải có vô hông,1
Thái Hoàng Quân kìa fen,1
Không biết chơi có được bày không ạ,1
Trần Duy Anh,1
Nguyễn Thanh Phong  :),1
Trần Khải Dương,1
Là cuộc thi trong trường nhưng giải thưởng thật lớn,1
SV FPT sướng quá vậy !,1
Trên cả toẹt dời😊,1
Em cũng muốn làm sinh viên ngành du lịch FPT😀,1
Quá tuyệt vời!,1
Phạm Hoài Khang đk thi chưa z 🌚,1
Huỳnh Tài Sang biến ra phân thân giúp t đi thi đi 🥲🥲,1
"Trường sịn quá z, cuộc thi cũng k kém",1
Hoàng Minh nhớ đăng kí thi nha ông,1
Long Huynh Hoang dậy đi thi,1
Wow,1
Minh Tấn tuỵt,1
🚗🚗🚗,1
Khánh Linh game on,1
Chiến quá điii Phạm Thế Hòa,1
Phát hiện chị Thu Hà đi mượn đồng phục võ,1
Hải YếnNguyễn Đặng Mỹ Tiên duma r dính ngày t không học là sao,1
Đúng cái hôm k đi học chớ 😩,1
Có review NVH luôn ko,1
Chị Hà Mã Tấu =)))),1
hnay ko đi học 🙂,1
Hông ấy chị đi lại được hông cho em xin chữ kí 🥹,1
Lúc nào thế 😑,1
"Chị ơi, em cũng mún gặp chịiiii",1
Tr ơi Idol emmmmm,1
Ngon!! Mà Đặng Thu Hà là ai v??,1
đúng ngày ko đi học thì...,1
Đức Bùi xin tấm ảnh tề,1
Review cantin 500 chỗ đi ạ,1
Ghen tị quá đê,1
Nguyễn Thị Ngọc Quý Đặng Thị Thu Hề🥹,1
Huhu em cũngg muốnnn gặppp chịiii màaaaaa 😭,1
Minh Tùng đi bú fame chị hà k,1
Hải triều khi nào vào sv ơi,1
Đặng Trung Kiên :)) code xong leo 4 lầu,1
"Thanh Ngân idol tui, tiếc qué khum đi học 🥹",1
Mé bị covid ấy chứ ko là gặp rồiii,1
Đỗ Thành PhướcKhuong Nguyen HungLưu Ka KaPhạm KhoaQuốc Bình biết lựa ngày nghỉ ghê :(((,1
Phạm Thế Hòa mày là nhất xin hộ chữ kí đi,1
Trời ơiiiii tui cũng muốn gặp chụy iu mờ😭,1
Hà Phước Phạm Đăng Hải Trần Minh Hiếu không đứa nào gặp à,1
Phạm Thế Hòa ghê chưa ghê chưa,1
Nay 0 học lầu 5 🤡,1
Minh Nhật có chụp hok,1
Phương Le ước gì đc bạn nào đó dẫn qua,1
Phạm Thành Danh lí do này,1
Minh Nguyễn ủa nè,1
Phan Ngọc Quỳnh Anh nhìn lướt cứ tưởng Quỳnh Anh =)),1
Mãi keooo,1
Tăng Mai Phương,1
Ngoan Nguyễn,1
Minh Anh,1
-))),1
Chị Hà Mã Tấu nè Huỳnh Nhật Huy,1
Nguyễn Trần Gia Hân Thanh Châu,1
Lý Quốc Thái thi thoai bạn eyy,1
Mỹ Hạnh,1
Ơ thi không này Hằng Phan,1
Quỳnh My trai sáu múi của ghệ kìa,1
Hiền Hòa thi lẹ lên nè,1
Minh Hoàng,1
Phan Kim Xuan Nhi Alex Nguyễn đi hoiiii,1
Lai Hung Quan Tran Ngô Nguyễn Huyền Trang Ngân Thu Khoa Anh Trần Lĩnh trường liên kết quen lắm,1
🥺🥺,1
Phải làm sao đây mấy anh chị của em 🥺,1
My Tang🥴,1
Nguyễn Ánh. thoi nghỉ ikk :)),1
Nguyễn Trần Nam Hưng zk ơi coi nek,1
Kh Băng nhu da noi...,1
"có bạn em Nguyễn Xuân Sỹ ko page, b e muốn làm thuyền trưởng",1
pùng lổ z mấy fen,1
Nhân Nhí thưa ngài,1
Nguyễn Gia Minh :)) cháy,1
Dị là chắc nhà con Tiên này đông nhất rồi 😅,1
"THÔNG TIN VỀ BROTHER & SISTER 2023: 
👉 Link đăng ký: https://forms.gle/zapqgJDddzHccqgD8 
🌟 Số lượng Bro&Sis: 240 bạn (dự kiện với 6500 tân sinh viên) 
⏰ Deadline: 20/06/2023 (sẽ đóng cổng đăng ký nếu đủ số lượng)",1
"Pye Pye nghe bảo muốn làm, đk đi friend",1
Đi thôi 🔥,1
Tui muốn đăng ký dc ko FPT Around,1
Tình iu cũ 🫶,1
Khiêm Phạm lm sis đi kìa:)),1
Apply nhỉ mấy anh chị của em Hiếu Ròm Phạm Hàn Trần Thanh Phú Ninh Duy Alex Hà Quốc Duy Vũ Tiến Hùng Ngọc Thoa Thành Nguyễn ?,1
Minh Đức còn kem chuối năm ngoái đến năm nay chưa khao đó trời qươi,1
:))) Wwoah,1
Bảo lm ko kìa,1
Võ Xuân Đạt vừa dí đồ án vừa trông con chăng :))),1
Tiến Tiến Minh Long Phạm Thành Khang vào đi mấy đứa :DD,1
Nguyễn Phi Yến Nhi lẹ đi lấy vân tay thang máy,1
Cổ Nghi TRẦN ĐÌNH THIÊN PHÚC Kiệt Tuấn Ngọc Thạch dô chill=)),1
